  Lines           Copies        Function name
     3835 (0.3%)     59 (0.1%)  <hashbrown::raw::RawTable<T> as core::ops::drop::Drop>::drop
     3726 (0.3%)     46 (0.1%)  smallvec::SmallVec<A>::try_reserve
     3681 (0.3%)     51 (0.1%)  <salsa::derived::slot::Slot<Q,MP> as core::fmt::Debug>::fmt
     3680 (0.3%)     46 (0.1%)  <smallvec::IntoIter<A> as core::ops::drop::Drop>::drop
     3639 (0.3%)     52 (0.1%)  core::result::Result<T,E>::map_err
     3572 (0.3%)     42 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     3570 (0.3%)     51 (0.1%)  salsa::derived::slot::PanicGuard<Q,MP>::proceed
     3549 (0.3%)    319 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     3501 (0.3%)    389 (0.9%)  core::mem::align_of
     3312 (0.3%)     46 (0.1%)  smallvec::SmallVec<A>::push
     3186 (0.2%)     59 (0.1%)  hashbrown::raw::calculate_layout
     3183 (0.2%)     76 (0.2%)  <[A] as core::slice::SlicePartialEq<A>>::equal
     3180 (0.2%)     76 (0.2%)  <core::slice::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     3120 (0.2%)    195 (0.4%)  core::alloc::layout::size_align
     2990 (0.2%)     46 (0.1%)  smallvec::layout_array
     2945 (0.2%)    270 (0.6%)  <alloc::vec::Vec<T> as core::ops::drop::Drop>::drop
     2927 (0.2%)     89 (0.2%)  salsa::QueryTable<Q>::try_get
     2815 (0.2%)    465 (1.0%)  core::ptr::non_null::NonNull<T>::cast
     2780 (0.2%)     51 (0.1%)  salsa::derived::slot::Memo<Q>::validate_memoized_value
     2760 (0.2%)     46 (0.1%)  <salsa::blocking_future::Slot<T> as core::default::Default>::default
     2750 (0.2%)     44 (0.1%)  hashbrown::raw::RawTable<T>::rehash_in_place::{{closure}}
     2662 (0.2%)     22 (0.0%)  hashbrown::raw::RawTable<T>::find_insert_slot
     2625 (0.2%)     75 (0.2%)  core::iter::traits::iterator::Iterator::zip
     2612 (0.2%)    283 (0.6%)  core::mem::min_align_of_val
     2599 (0.2%)    282 (0.6%)  core::mem::size_of_val
     2570 (0.2%)    257 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     2530 (0.2%)    110 (0.2%)  indexmap::map::ShortHashProxy<Sz>::get_short_hash
     2530 (0.2%)     46 (0.1%)  salsa::blocking_future::BlockingFuture<T>::new
     2476 (0.2%)     46 (0.1%)  salsa::blocking_future::Promise<T>::fulfil
     2451 (0.2%)    100 (0.2%)  core::iter::traits::iterator::Iterator::all::check::{{closure}}
     2448 (0.2%)     51 (0.1%)  salsa::derived::slot::PanicGuard<Q,MP>::report_unexpected_cycle
     2439 (0.2%)    271 (0.6%)  alloc::vec::Vec<T>::as_mut_ptr
     2401 (0.2%)    398 (0.9%)  core::ptr::unique::Unique<T>::cast
     2397 (0.2%)     51 (0.1%)  lock_api::rwlock::RwLockUpgradableReadGuard<R,T>::upgrade
     2349 (0.2%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::entry
     2310 (0.2%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::get_full
     2278 (0.2%)    169 (0.4%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
     2254 (0.2%)     46 (0.1%)  smallvec::SmallVec<A>::new
     2242 (0.2%)     59 (0.1%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     2189 (0.2%)    199 (0.4%)  <alloc::vec::Vec<T> as core::ops::deref::Deref>::deref
     2181 (0.2%)     50 (0.1%)  <salsa::runtime::StampedValue<V> as core::clone::Clone>::clone
     2178 (0.2%)     22 (0.0%)  hashbrown::raw::RawTable<T>::reserve_rehash
     2145 (0.2%)    195 (0.4%)  core::alloc::layout::Layout::new
     2135 (0.2%)     61 (0.1%)  alloc::raw_vec::RawVec<T,A>::new_in
     2116 (0.2%)     92 (0.2%)  lock_api::mutex::Mutex<R,T>::new
     2106 (0.2%)    264 (0.6%)  core::ptr::swap_nonoverlapping
     2102 (0.2%)    434 (1.0%)  core::mem::drop
     2070 (0.2%)     46 (0.1%)  <smallvec::IntoIter<A> as core::iter::traits::iterator::Iterator>::next
     2035 (0.2%)     55 (0.1%)  indexmap::map::OrderMapCore<K,V>::find_using
     2010 (0.2%)     17 (0.0%)  hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S>>::rustc_entry
     1989 (0.2%)     51 (0.1%)  salsa::derived::slot::PanicGuard<Q,MP>::new
     1976 (0.2%)     52 (0.1%)  <smallvec::SmallVec<A> as core::ops::index::IndexMut<I>>::index_mut
     1971 (0.2%)    275 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
     1967 (0.2%)    395 (0.9%)  core::ptr::write
     1960 (0.1%)     56 (0.1%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     1934 (0.1%)    152 (0.3%)  core::cell::UnsafeCell<T>::new
     1920 (0.1%)    192 (0.4%)  core::ptr::const_ptr::<impl *const T>::offset
     1906 (0.1%)    319 (0.7%)  core::intrinsics::copy_nonoverlapping
     1886 (0.1%)     46 (0.1%)  <smallvec::SmallVec<A> as core::iter::traits::collect::IntoIterator>::into_iter
     1856 (0.1%)     17 (0.0%)  salsa::interned::InternedStorage<Q>::intern_index::{{closure}}
     1814 (0.1%)    120 (0.3%)  alloc::boxed::Box<T>::leak
     1791 (0.1%)    199 (0.4%)  alloc::vec::Vec<T>::as_ptr
     1781 (0.1%)    137 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
     1760 (0.1%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::get_index_of
     1755 (0.1%)    135 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_memory
     1751 (0.1%)     17 (0.0%)  salsa::interned::InternedStorage<Q>::intern_check
     1736 (0.1%)    248 (0.5%)  core::slice::from_raw_parts
     1711 (0.1%)     59 (0.1%)  hashbrown::raw::RawTable<T>::free_buckets
     1705 (0.1%)     55 (0.1%)  alloc::raw_vec::RawVec<T,A>::reserve_exact
     1704 (0.1%)    280 (0.6%)  alloc::rc::is_dangling
     1664 (0.1%)     52 (0.1%)  smallvec::SmallVec<A>::triple_mut
     1658 (0.1%)     17 (0.0%)  <salsa::interned::LookupInternedStorage<Q,IQ> as salsa::plumbing::QueryStorageOps<Q>>::try_fetch
     1652 (0.1%)     59 (0.1%)  hashbrown::raw::Bucket<T>::add
     1652 (0.1%)     59 (0.1%)  hashbrown::raw::RawTable<T>::iter
     1620 (0.1%)    135 (0.3%)  alloc::raw_vec::RawVec<T,A>::try_reserve
     1556 (0.1%)     52 (0.1%)  <smallvec::SmallVec<A> as core::ops::drop::Drop>::drop
     1551 (0.1%)     47 (0.1%)  smallvec::SmallVec<A>::triple
     1539 (0.1%)     21 (0.0%)  core::option::Option<T>::map_or
     1536 (0.1%)     51 (0.1%)  indexmap::map::OccupiedEntry<K,V>::into_mut
     1518 (0.1%)     46 (0.1%)  lock_api::mutex::Mutex<R,T>::into_inner
     1513 (0.1%)     17 (0.0%)  salsa::interned::InternTables<K>::slot_for_index
     1503 (0.1%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token_tree
     1502 (0.1%)    280 (0.6%)  alloc::sync::Arc<T>::get_mut_unchecked
     1485 (0.1%)     51 (0.1%)  salsa::derived::DerivedStorage<Q,MP>::slot::{{closure}}
     1473 (0.1%)    372 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
     1460 (0.1%)    286 (0.6%)  core::ptr::non_null::NonNull<T>::new_unchecked
     1432 (0.1%)     33 (0.1%)  core::option::Option<T>::ok_or
     1408 (0.1%)      4 (0.0%)  <salsa::input::InputStorage<Q> as salsa::plumbing::InputQueryStorageOps<Q>>::set::{{closure}}
     1373 (0.1%)    275 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     1364 (0.1%)    124 (0.3%)  <alloc::vec::Vec<T> as core::ops::deref::DerefMut>::deref_mut
     1355 (0.1%)    271 (0.6%)  alloc::raw_vec::RawVec<T,A>::ptr
     1350 (0.1%)    191 (0.4%)  core::ptr::unique::Unique<T>::new_unchecked
     1300 (0.1%)    100 (0.2%)  core::iter::traits::iterator::Iterator::all
     1298 (0.1%)     59 (0.1%)  hashbrown::raw::Bucket<T>::from_base_index
     1298 (0.1%)     59 (0.1%)  hashbrown::raw::RawIterRange<T>::new
     1292 (0.1%)     17 (0.0%)  std::collections::hash::map::map_entry
     1286 (0.1%)    320 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     1275 (0.1%)     89 (0.2%)  salsa::QueryTable<Q>::get
     1265 (0.1%)     55 (0.1%)  lock_api::rwlock::RwLock<R,T>::new
     1263 (0.1%)     75 (0.2%)  <[A] as core::slice::SlicePartialEq<A>>::equal::{{closure}}
     1260 (0.1%)     35 (0.1%)  indexmap::map::hash_elem_using
     1254 (0.1%)      1 (0.0%)  <ra_hir_def::expr::Expr as core::cmp::PartialEq>::eq
     1246 (0.1%)    178 (0.4%)  core::slice::from_raw_parts_mut
     1227 (0.1%)    367 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     1217 (0.1%)    600 (1.3%)  core::ptr::non_null::NonNull<T>::as_ptr
     1215 (0.1%)    135 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity_from_bytes
     1210 (0.1%)     55 (0.1%)  indexmap::map::OrderMapCore<K,V>::size_class_is_64bit
     1208 (0.1%)    281 (0.6%)  core::ptr::non_null::NonNull<T>::as_ref
     1190 (0.1%)     85 (0.2%)  core::slice::<impl [T]>::len
     1186 (0.1%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::find
     1182 (0.1%)     86 (0.2%)  hashbrown::map::HashMap<K,V,S>::get_key_value::{{closure}}
     1178 (0.1%)     89 (0.2%)  <core::result::Result<T,E> as core::ops::try::Try>::from_error
     1161 (0.1%)     43 (0.1%)  hashbrown::map::HashMap<K,V,S>::get_key_value
     1122 (0.1%)     34 (0.1%)  hashbrown::map::make_hash
     1122 (0.1%)     17 (0.0%)  salsa::interned::Slot<K>::try_update_accessed_at
