  Lines           Copies        Function name
      430 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::TyData<I>>::fmt
      427 (0.0%)     61 (0.1%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
      427 (0.0%)     61 (0.1%)  alloc::raw_vec::RawVec<T>::with_capacity
      423 (0.0%)     85 (0.2%)  core::ptr::const_ptr::<impl *const T>::is_null
      420 (0.0%)      4 (0.0%)  core::iter::traits::exact_size::ExactSizeIterator::len
      414 (0.0%)      4 (0.0%)  alloc::vec::Vec<T>::extend_desugared
      408 (0.0%)     51 (0.1%)  salsa::derived::slot::Slot<Q,MP>::database_key_index
      402 (0.0%)    134 (0.3%)  alloc::vec::Vec<T>::len
      396 (0.0%)      4 (0.0%)  core::iter::traits::iterator::Iterator::fold
      392 (0.0%)     98 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::as_ptr
      392 (0.0%)     56 (0.1%)  alloc::raw_vec::RawVec<T>::from_raw_parts
      392 (0.0%)      9 (0.0%)  core::result::Result<T,E>::unwrap
      390 (0.0%)     26 (0.1%)  hashbrown::map::HashMap<K,V,S>::iter
      386 (0.0%)    100 (0.2%)  <core::result::Result<T,E> as core::ops::try::Try>::into_result
      384 (0.0%)      1 (0.0%)  <ra_ssr::MatchDebugInfo as core::fmt::Debug>::fmt
      379 (0.0%)     75 (0.2%)  <alloc::sync::Arc<T> as core::fmt::Debug>::fmt
      368 (0.0%)     46 (0.1%)  <&mut I as core::iter::traits::iterator::Iterator>::next
      366 (0.0%)     61 (0.1%)  core::ptr::unique::Unique<T>::dangling
      357 (0.0%)     51 (0.1%)  <salsa::derived::AlwaysMemoizeValue as salsa::derived::MemoizationPolicy<Q>>::memoized_value_eq
      357 (0.0%)     51 (0.1%)  lock_api::rwlock::RwLock<R,T>::upgradable_guard
      357 (0.0%)      5 (0.0%)  std::thread::local::LocalKey<T>::try_with
      354 (0.0%)     15 (0.0%)  <core::option::Option<T> as core::clone::Clone>::clone
      345 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ModItem as core::cmp::PartialEq>::eq
      344 (0.0%)     43 (0.1%)  hashbrown::map::HashMap<K,V,S>::get
      344 (0.0%)      2 (0.0%)  core::sync::atomic::atomic_compare_exchange
      342 (0.0%)      1 (0.0%)  <rowan::api::SyntaxToken<L> as core::fmt::Debug>::fmt
      339 (0.0%)      1 (0.0%)  ra_ssr::parsing::validate_rule
      338 (0.0%)     26 (0.1%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
      338 (0.0%)     26 (0.1%)  std::collections::hash::map::HashMap<K,V,S>::iter
      332 (0.0%)      9 (0.0%)  core::hash::Hash::hash_slice
      330 (0.0%)     55 (0.1%)  alloc::vec::Vec<T>::reserve_exact
      324 (0.0%)     18 (0.0%)  core::tuple::<impl core::cmp::PartialEq for (A,B)>::eq
      324 (0.0%)      3 (0.0%)  <core::result::Result<T,E> as core::cmp::PartialEq>::eq
      323 (0.0%)    100 (0.2%)  core::iter::traits::iterator::Iterator::all::check
      323 (0.0%)     17 (0.0%)  hashbrown::map::HashMap<K,V,S>::reserve
      323 (0.0%)      1 (0.0%)  <chalk_ir::DomainGoal<I> as core::cmp::PartialEq>::eq
      320 (0.0%)      4 (0.0%)  core::result::Result<T,E>::map
      319 (0.0%)      1 (0.0%)  <ra_hir_ty::TypeCtor as core::cmp::PartialEq>::eq
      315 (0.0%)     45 (0.1%)  hashbrown::raw::RawTable<T>::bucket
      315 (0.0%)     45 (0.1%)  hashbrown::raw::RawTable<T>::ctrl
      315 (0.0%)     17 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::entry
      312 (0.0%)     52 (0.1%)  smallvec::SmallVec<A>::spilled
      312 (0.0%)     39 (0.1%)  alloc::sync::Arc<T>::ptr_eq
      312 (0.0%)      5 (0.0%)  core::option::Option<T>::and_then
      310 (0.0%)     52 (0.1%)  core::intrinsics::copy
      308 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::resize::{{closure}}
      306 (0.0%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::find::{{closure}}
      306 (0.0%)     51 (0.1%)  <lock_api::rwlock::RwLockUpgradableReadGuard<R,T> as core::ops::deref::Deref>::deref
      306 (0.0%)     51 (0.1%)  <lock_api::rwlock::RwLockUpgradableReadGuard<R,T> as core::ops::drop::Drop>::drop
      306 (0.0%)     51 (0.1%)  lock_api::rwlock::RwLock<R,T>::upgradable_read
      305 (0.0%)      1 (0.0%)  ra_ssr::parsing::tokenize
      301 (0.0%)      1 (0.0%)  <ra_hir_def::AttrDefId as core::cmp::PartialEq>::eq
      296 (0.0%)      2 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink
      296 (0.0%)      2 (0.0%)  smol_str::Repr::new
      295 (0.0%)     59 (0.1%)  hashbrown::raw::Bucket<T>::drop
      294 (0.0%)      2 (0.0%)  alloc::sync::Arc<T>::allocate_for_layout
      291 (0.0%)      1 (0.0%)  <rustc_hash::FxHasher as core::hash::Hasher>::write
      288 (0.0%)     16 (0.0%)  <ra_hir_expand::InFile<T> as core::cmp::PartialEq>::eq
      288 (0.0%)      4 (0.0%)  <alloc::vec::Vec<T> as core::iter::traits::collect::IntoIterator>::into_iter
      288 (0.0%)      1 (0.0%)  <ra_hir_def::type_ref::TypeRef as core::cmp::PartialEq>::eq
      286 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::set_ctrl
      285 (0.0%)      1 (0.0%)  ra_ssr::replacing::render_replace
      280 (0.0%)      1 (0.0%)  <chalk_ir::GoalData<I> as core::cmp::PartialEq>::eq
      276 (0.0%)     46 (0.1%)  <lock_api::mutex::MutexGuard<R,T> as core::ops::deref::Deref>::deref
      275 (0.0%)     55 (0.1%)  indexmap::map::OrderMapCore<K,V>::capacity
      275 (0.0%)     55 (0.1%)  indexmap::map::VacantEntry<K,V>::index
      275 (0.0%)      7 (0.0%)  core::result::Result<T,E>::ok
      272 (0.0%)     48 (0.1%)  salsa::plumbing::QueryFunction::recover
      272 (0.0%)      2 (0.0%)  core::fmt::builders::DebugMap::entries
      271 (0.0%)      1 (0.0%)  ra_ssr::matching::<impl ra_ssr::SsrPattern>::tree_for_kind
      270 (0.0%)      9 (0.0%)  <ra_hir_expand::InFile<T> as core::fmt::Debug>::fmt
      264 (0.0%)      4 (0.0%)  <salsa::input::InputStorage<Q> as salsa::plumbing::QueryStorageOps<Q>>::try_fetch::{{closure}}
      264 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ModItem as core::hash::Hash>::hash
      262 (0.0%)    131 (0.3%)  core::slice::<impl [T]>::as_ptr
      259 (0.0%)      4 (0.0%)  <alloc::vec::IntoIter<T> as core::iter::traits::iterator::Iterator>::next
      259 (0.0%)      1 (0.0%)  <chalk_ir::TypeName<I> as core::cmp::PartialEq>::eq
      258 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::ItemTreeData as core::cmp::PartialEq>::eq
      257 (0.0%)      1 (0.0%)  <ra_hir_def::ModuleDefId as core::cmp::PartialEq>::eq
      256 (0.0%)      1 (0.0%)  ra_ssr::matching::only_ident
      255 (0.0%)      4 (0.0%)  core::iter::adapters::map_fold::{{closure}}
      254 (0.0%)     22 (0.0%)  core::ptr::mut_ptr::<impl *mut T>::write
      254 (0.0%)      1 (0.0%)  core::char::methods::encode_utf8_raw
      245 (0.0%)      1 (0.0%)  <chalk_ir::DomainGoal<I> as core::hash::Hash>::hash
      244 (0.0%)      1 (0.0%)  <ra_hir_ty::TypeCtor as core::hash::Hash>::hash
      243 (0.0%)      3 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::Binders<T>>::fmt
      241 (0.0%)      7 (0.0%)  core::option::Option<T>::unwrap
      241 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::check_constraint
      240 (0.0%)     80 (0.2%)  core::slice::size_from_ptr
      240 (0.0%)      8 (0.0%)  <(T10,T11) as core::fmt::Debug>::fmt
      236 (0.0%)     59 (0.1%)  hashbrown::raw::RawTable<T>::buckets
      236 (0.0%)     59 (0.1%)  hashbrown::raw::RawTable<T>::is_empty_singleton
      236 (0.0%)     13 (0.0%)  core::clone::Clone::clone
      235 (0.0%)      1 (0.0%)  alloc::sync::Arc<[T]>::from_iter_exact
      234 (0.0%)      4 (0.0%)  <core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
      233 (0.0%)      1 (0.0%)  rowan::cursor::SyntaxNode::preorder_with_tokens::{{closure}}
      230 (0.0%)     46 (0.1%)  core::cell::UnsafeCell<T>::into_inner
      228 (0.0%)     76 (0.2%)  core::slice::<impl core::cmp::PartialEq<[B]> for [A]>::eq
      228 (0.0%)      2 (0.0%)  core::slice::<impl [T]>::copy_from_slice
      228 (0.0%)      1 (0.0%)  <chalk_ir::TyData<I> as core::cmp::PartialEq>::eq
      227 (0.0%)      1 (0.0%)  <ra_hir_def::expr::Literal as core::cmp::PartialEq>::eq
      226 (0.0%)      1 (0.0%)  <ra_hir_def::AttrDefId as core::hash::Hash>::hash
      225 (0.0%)     75 (0.2%)  core::iter::adapters::zip::Zip<A,B>::new
      224 (0.0%)     56 (0.1%)  indexmap::map::IndexMap<K,V,S>::is_empty
      224 (0.0%)     56 (0.1%)  indexmap::map::IndexMap<K,V,S>::len
      224 (0.0%)     56 (0.1%)  indexmap::map::OrderMapCore<K,V>::len
      220 (0.0%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::capacity
      220 (0.0%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::size_class_is_64bit
      220 (0.0%)      1 (0.0%)  <core::str::pattern::CharSearcher as core::str::pattern::ReverseSearcher>::next_match_back
      218 (0.0%)      4 (0.0%)  <core::option::Option<T> as core::fmt::Debug>::fmt
      217 (0.0%)     12 (0.0%)  core::mem::transmute_copy
      216 (0.0%)     12 (0.0%)  <chalk_ir::Binders<T> as core::cmp::PartialEq>::eq
      214 (0.0%)      1 (0.0%)  <ra_hir_ty::Ty as core::cmp::PartialEq>::eq
      213 (0.0%)      1 (0.0%)  <ra_hir_def::GenericDefId as core::cmp::PartialEq>::eq
      209 (0.0%)      1 (0.0%)  ra_ssr::parsing::expect_token
      208 (0.0%)     26 (0.1%)  <std::collections::hash::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
      208 (0.0%)      4 (0.0%)  <core::option::Option<T> as core::hash::Hash>::hash
      204 (0.0%)     68 (0.1%)  <core::ops::range::RangeFull as core::slice::SliceIndex<[T]>>::index
      204 (0.0%)     17 (0.0%)  std::collections::hash::map::VacantEntry<K,V>::insert
      204 (0.0%)      4 (0.0%)  <alloc::vec::IntoIter<T> as core::iter::traits::iterator::Iterator>::size_hint
      204 (0.0%)      3 (0.0%)  <core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
      200 (0.0%)      1 (0.0%)  <chalk_ir::TypeName<I> as core::hash::Hash>::hash
      200 (0.0%)      1 (0.0%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
      200 (0.0%)      1 (0.0%)  ra_ssr::SsrMatches::flatten_into
      198 (0.0%)     59 (0.1%)  <core::option::Option<T> as core::default::Default>::default
      198 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::reserve_rehash::{{closure}}
      198 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::try_with_capacity::{{closure}}
      197 (0.0%)      2 (0.0%)  <core::iter::adapters::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
      195 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::ConstData<I>>::fmt
      193 (0.0%)      4 (0.0%)  core::iter::traits::iterator::Iterator::for_each
      191 (0.0%)      1 (0.0%)  <ra_hir_def::lang_item::LangItemTarget as core::cmp::PartialEq>::eq
      188 (0.0%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
      188 (0.0%)      1 (0.0%)  <ra_ssr::parsing::SsrTemplate as core::str::FromStr>::from_str
      187 (0.0%)      1 (0.0%)  <chalk_ir::GoalData<I> as core::hash::Hash>::hash
      187 (0.0%)      1 (0.0%)  alloc::raw_vec::finish_grow
      185 (0.0%)     59 (0.1%)  core::option::Option<T>::take
      184 (0.0%)      1 (0.0%)  salsa::runtime::Runtime::is_current_revision_canceled
      183 (0.0%)      3 (0.0%)  <T as alloc::string::ToString>::to_string
      180 (0.0%)      6 (0.0%)  <ra_hir_def::ItemLoc<N> as core::fmt::Debug>::fmt
      179 (0.0%)      4 (0.0%)  salsa::QueryTableMut<Q>::set_with_durability
      175 (0.0%)     35 (0.1%)  <Q as indexmap::equivalent::Equivalent<K>>::equivalent
      170 (0.0%)      1 (0.0%)  ra_hir_ty::db::infer_wait::{{closure}}
      169 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::ValueTyDefId as core::cmp::PartialEq>::eq
      168 (0.0%)      1 (0.0%)  crossbeam_utils::atomic::atomic_cell::atomic_load
      165 (0.0%)      5 (0.0%)  hashbrown::map::HashMap<K,V,S>::with_hasher
      165 (0.0%)      1 (0.0%)  <ra_hir_def::nameres::ModuleOrigin as core::cmp::PartialEq>::eq
      162 (0.0%)      6 (0.0%)  <ra_hir_def::ItemLoc<N> as core::clone::Clone>::clone
      162 (0.0%)      2 (0.0%)  core::cmp::max_by
      162 (0.0%)      2 (0.0%)  core::cmp::min_by
      162 (0.0%)      1 (0.0%)  <chalk_ir::LifetimeData<I> as core::cmp::PartialEq>::eq
      162 (0.0%)      1 (0.0%)  <ra_hir_ty::Ty as core::hash::Hash>::hash
      162 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::debug_where_text_equal
      160 (0.0%)     40 (0.1%)  std::collections::hash::map::HashMap<K,V,S>::get
      160 (0.0%)      5 (0.0%)  core::ptr::const_ptr::<impl *const T>::offset_from
      159 (0.0%)     53 (0.1%)  <core::ops::range::RangeFull as core::slice::SliceIndex<[T]>>::index_mut
      157 (0.0%)      5 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrPattern>::from_str::{{closure}}
      156 (0.0%)      3 (0.0%)  <core::iter::adapters::Cloned<I> as core::iter::traits::iterator::Iterator>::fold
      156 (0.0%)      1 (0.0%)  <chalk_ir::TyData<I> as core::hash::Hash>::hash
      154 (0.0%)     22 (0.0%)  hashbrown::raw::Bucket<T>::copy_from_nonoverlapping
      153 (0.0%)     51 (0.1%)  indexmap::map::OccupiedEntry<K,V>::index
      153 (0.0%)     51 (0.1%)  salsa::derived::slot::Slot<Q,MP>::should_memoize_value
      153 (0.0%)      9 (0.0%)  core::any::type_name
      152 (0.0%)      4 (0.0%)  <alloc::vec::IntoIter<T> as core::ops::drop::Drop>::drop
      152 (0.0%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
      152 (0.0%)      2 (0.0%)  indexmap::map::Pos::resolve
      150 (0.0%)      1 (0.0%)  <ra_hir_def::GenericDefId as core::hash::Hash>::hash
      150 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::LifetimeData<I>>::fmt
      149 (0.0%)     59 (0.1%)  core::ptr::mut_ptr::<impl *mut T>::drop_in_place
      149 (0.0%)      1 (0.0%)  ra_ssr::matching::<impl ra_ssr::parsing::NodeKind>::matches
      148 (0.0%)      4 (0.0%)  salsa::input::InputStorage<Q>::slot
      148 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroDefKind as core::cmp::PartialEq>::eq
      148 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Impl as core::cmp::PartialEq>::eq
      148 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::WhereClause<I>>::fmt
      147 (0.0%)      1 (0.0%)  <chalk_ir::ConstValue<I> as core::cmp::PartialEq>::eq
      147 (0.0%)      1 (0.0%)  <ra_hir_def::expr::BinaryOp as core::cmp::PartialEq>::eq
      147 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::AssocItem as core::cmp::PartialEq>::eq
      147 (0.0%)      1 (0.0%)  <ra_hir_expand::db::TokenExpander as core::cmp::PartialEq>::eq
      147 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::InferTy as core::cmp::PartialEq>::eq
      147 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::GenericArgData<I>>::fmt
      146 (0.0%)      1 (0.0%)  <ra_hir_ty::Ty as core::clone::Clone>::clone
      144 (0.0%)     48 (0.1%)  <alloc::sync::Arc<T> as core::cmp::PartialEq>::eq
      144 (0.0%)      9 (0.0%)  <[T] as core::fmt::Debug>::fmt
      144 (0.0%)      1 (0.0%)  <salsa::CycleError<K> as core::fmt::Display>::fmt
      140 (0.0%)      5 (0.0%)  alloc::slice::hack::to_vec
      140 (0.0%)      1 (0.0%)  <ra_hir_def::expr::Statement as core::cmp::PartialEq>::eq
      140 (0.0%)      1 (0.0%)  <ra_tt::ExpansionError as core::cmp::PartialEq>::eq
      138 (0.0%)     46 (0.1%)  <smallvec::SmallVec<A> as core::default::Default>::default
      138 (0.0%)     46 (0.1%)  lock_api::mutex::MutexGuard<R,T>::mutex
      138 (0.0%)     46 (0.1%)  smallvec::SmallVec<A>::inline_size
      138 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::shrink
      138 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::InferenceResult as core::cmp::PartialEq>::eq
      135 (0.0%)     45 (0.1%)  hashbrown::raw::Bucket<T>::as_ref
      134 (0.0%)     26 (0.1%)  <core::option::Option<T> as core::ops::try::Try>::from_error
      133 (0.0%)      1 (0.0%)  <core::iter::sources::Successors<T,F> as core::iter::traits::iterator::Iterator>::next
      132 (0.0%)     22 (0.0%)  core::ptr::non_null::NonNull<T>::dangling
      132 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::extend
      130 (0.0%)     26 (0.1%)  <ra_arena::Arena<T> as core::cmp::PartialEq>::eq
      130 (0.0%)      7 (0.0%)  core::ptr::read_unaligned
      130 (0.0%)      5 (0.0%)  core::sync::atomic::atomic_load
      130 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::grow
      129 (0.0%)      1 (0.0%)  <ra_hir_def::expr::CmpOp as core::cmp::PartialEq>::eq
      129 (0.0%)      1 (0.0%)  alloc::vec::Vec<T>::extend_with
      129 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::validate_range
      128 (0.0%)      4 (0.0%)  core::cell::Cell<T>::replace
      126 (0.0%)     21 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::cmp::PartialEq>::eq::{{closure}}::{{closure}}
      126 (0.0%)      1 (0.0%)  <chalk_ir::Scalar as core::cmp::PartialEq>::eq
      126 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::AttrOwner as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_def::AdtId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_def::AssocContainerId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_def::AssocItemId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_def::DefWithBodyId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_def::VariantId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::CallableDef as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::TyDefId as core::cmp::PartialEq>::eq
      125 (0.0%)      1 (0.0%)  <ra_tt::Leaf as core::cmp::PartialEq>::eq
      122 (0.0%)      1 (0.0%)  chalk_ir::debug::<impl core::fmt::Debug for chalk_ir::VariableKind<I>>::fmt
      121 (0.0%)     27 (0.1%)  <core::option::Option<T> as core::ops::try::Try>::into_result
      120 (0.0%)      6 (0.0%)  crossbeam_utils::atomic::atomic_cell::can_transmute
      119 (0.0%)     17 (0.0%)  hashbrown::map::HashMap<K,V,S>::reserve::{{closure}}
      119 (0.0%)      1 (0.0%)  <chalk_ir::GenericArgData<I> as core::cmp::PartialEq>::eq
      119 (0.0%)      1 (0.0%)  <chalk_ir::WhereClause<I> as core::cmp::PartialEq>::eq
      119 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::diagnostics::InferenceDiagnostic as core::cmp::PartialEq>::eq
      118 (0.0%)     59 (0.1%)  hashbrown::raw::RawTable<T>::free_buckets::{{closure}}
      118 (0.0%)      1 (0.0%)  <ra_hir_def::expr::Array as core::cmp::PartialEq>::eq
      118 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroCallKind as core::cmp::PartialEq>::eq
      118 (0.0%)      1 (0.0%)  <ra_mbe::syntax_bridge::TokenTextRange as core::cmp::PartialEq>::eq
      117 (0.0%)      9 (0.0%)  core::hash::impls::<impl core::hash::Hash for [T]>::hash
      117 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::alloc
      114 (0.0%)      6 (0.0%)  <ra_hir_ty::Binders<T> as core::cmp::PartialEq>::eq
      114 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Function as core::cmp::PartialEq>::eq
      113 (0.0%)      1 (0.0%)  ra_ssr::parsing::RawSearchPattern::placeholders_by_stand_in
      112 (0.0%)      1 (0.0%)  <ra_hir_ty::lower::ValueTyDefId as core::hash::Hash>::hash
      110 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::num_ctrl_bytes
      110 (0.0%)     11 (0.0%)  alloc::vec::Vec<T>::new
      110 (0.0%)      2 (0.0%)  core::slice::Iter<T>::make_slice
      110 (0.0%)      1 (0.0%)  rowan::utility_types::WalkEvent<T>::map
      108 (0.0%)      6 (0.0%)  <ra_arena::map::ArenaMap<ID,V> as core::cmp::PartialEq>::eq
      108 (0.0%)      6 (0.0%)  <ra_hir_def::ItemLoc<N> as core::cmp::PartialEq>::eq
      107 (0.0%)      3 (0.0%)  core::result::Result<T,E>::expect
      107 (0.0%)      2 (0.0%)  ra_ssr::matching::record_match_fails_reasons_scope
      107 (0.0%)      1 (0.0%)  <ra_ssr::parsing::RawSearchPattern as core::str::FromStr>::from_str
      106 (0.0%)      1 (0.0%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::nth
      106 (0.0%)      1 (0.0%)  ra_ssr::matching::Phase::record_ignored_comments
      105 (0.0%)      1 (0.0%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
      105 (0.0%)      1 (0.0%)  <ra_hir_def::path::PathKind as core::cmp::PartialEq>::eq
      105 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroDefKind as core::hash::Hash>::hash
      105 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Impl as core::hash::Hash>::hash
      104 (0.0%)      1 (0.0%)  <chalk_ir::VariableKind<I> as core::cmp::PartialEq>::eq
      104 (0.0%)      1 (0.0%)  <ra_hir_def::builtin_type::BuiltinType as core::cmp::PartialEq>::eq
      104 (0.0%)      1 (0.0%)  <ra_hir_def::item_tree::Fields as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <either::Either<L,R> as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_def::ContainerId as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_def::generics::WherePredicateTarget as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_expand::HirFileIdRepr as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_expand::MacroCallId as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::ExprOrPatId as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::AssocTyValue as core::cmp::PartialEq>::eq
      103 (0.0%)      1 (0.0%)  ra_ssr::replacing::matches_to_edit_at_offset
      102 (0.0%)     51 (0.1%)  <salsa::derived::slot::Slot<Q,MP> as salsa::lru::LruNode>::lru_index
      102 (0.0%)     17 (0.0%)  hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S>>::rustc_entry::{{closure}}
       99 (0.0%)      1 (0.0%)  <chalk_ir::LifetimeData<I> as core::hash::Hash>::hash
       99 (0.0%)      1 (0.0%)  <ra_hir_def::adt::VariantData as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  <ra_hir_def::data::FunctionData as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  <ra_hir_expand::name::Repr as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  <ra_hir_ty::GenericPredicate as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Guidance as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  <ra_mbe::ExpandError as core::cmp::PartialEq>::eq
       99 (0.0%)      1 (0.0%)  smol_str::Repr::as_str
       98 (0.0%)     14 (0.0%)  <ra_hir_expand::InFile<T> as core::hash::Hash>::hash
       98 (0.0%)      1 (0.0%)  <chalk_ir::AliasTy<I> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <chalk_ir::FromEnv<I> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <chalk_ir::WellFormed<I> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::InlineBound<I> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <core::iter::LoopState<C,B> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <ra_hir_def::attr::AttrInput as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Obligation as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <ra_hir_ty::traits::Solution as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <ra_tt::TokenTree as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::cmp::PartialEq>::eq
       98 (0.0%)      1 (0.0%)  ra_ssr::parsing::Placeholder::new
       96 (0.0%)     24 (0.1%)  hashbrown::map::HashMap<K,V,S>::len
       96 (0.0%)     24 (0.1%)  std::collections::hash::map::HashMap<K,V,S>::len
       96 (0.0%)      2 (0.0%)  <ra_syntax::Parse<T> as core::clone::Clone>::clone
       96 (0.0%)      1 (0.0%)  <I as alloc::sync::ToArcSlice<T>>::to_arc_slice
       96 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::TraitFlags as core::cmp::PartialEq>::eq
       95 (0.0%)      1 (0.0%)  core::str::next_code_point
       95 (0.0%)      1 (0.0%)  ra_ssr::parsing::RawSearchPattern::as_rust_code
       94 (0.0%)      2 (0.0%)  <ra_hir_ty::Canonical<T> as core::clone::Clone>::clone
       93 (0.0%)      1 (0.0%)  <chalk_ir::ConstValue<I> as core::hash::Hash>::hash
       93 (0.0%)      1 (0.0%)  <ra_hir_def::item_scope::ItemScope as core::cmp::PartialEq>::eq
       93 (0.0%)      1 (0.0%)  <ra_hir_def::nameres::CrateDefMap as core::cmp::PartialEq>::eq
       93 (0.0%)      1 (0.0%)  <ra_hir_ty::infer::InferTy as core::hash::Hash>::hash
       92 (0.0%)     46 (0.1%)  lock_api::mutex::Mutex<R,T>::raw
       92 (0.0%)      4 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<T,I>>::spec_extend::{{closure}}
